"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS"
316023833,9185188,382914,49.22595,-124.8142,0,25,24,8,2022-02-07 16:10:04,"TER",3
369970147,9349069,457336,46.96019,-133.594,89,291,291,0,2022-02-07 16:11:21,"SAT",18
316039171,9781839,5837763,48.42127,-123.3874,0,46,46,5,2022-02-07 16:11:55,"TER",54
273813300,8607086,351364,41.62333,142.4733,90,511,91,0,2022-02-07 17:11:47,"SAT",98
316023833,9185188,382914,49.22595,-124.8141,0,25,24,8,2022-02-07 17:09:24,"TER",23
369970147,9349069,457336,46.96851,-133.7919,83,255,257,0,2022-02-07 17:11:18,"SAT",11
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 17:11:57,"TER",56
273813300,8607086,351364,41.62167,142.67,100,511,90,0,2022-02-07 18:05:52,"SAT",98
316023833,9185188,382914,49.22597,-124.8141,0,26,24,8,2022-02-07 18:07:08,"SAT",3
369970147,9349069,457336,47.00756,-133.9793,94,288,285,0,2022-02-07 18:07:24,"SAT",21
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 18:05:55,"TER",54
